city,date,fare,ride_id
Williamsview,2019-03-12 06:47:00,8.35,1940440000000
Richardfort,2019-02-24 08:40:00,13.93,5628550000000
New Kimberlyborough,2019-03-14 16:47:00,27.9,6750800000000
Reynoldsfurt,2019-03-25 14:33:00,34.06,6604420000000
South Karenland,2019-05-08 02:31:00,41.33,5688920000000
Rodneyfort,2019-04-25 20:57:00,21.7,8534600000000
Justinberg,2019-04-23 08:59:00,14.65,9878230000000
West Josephberg,2019-03-05 03:27:00,12.91,102685000000
South Karenland,2019-03-03 14:48:00,37.3,4104000000000
Leahton,2019-05-05 10:34:00,17.05,5846590000000
Martinezhaven,2019-03-19 15:31:00,5.3,264338000000
North Jason,2019-03-03 02:13:00,28.02,2670550000000
Jerryton,2019-03-03 17:50:00,28.08,6003410000000
Lake Scottton,2019-02-18 09:22:00,25.02,3909340000000
South Evanton,2019-02-14 05:55:00,42.5,9953660000000
Rogerston,2019-05-08 01:54:00,32.69,1643410000000
West Samuelburgh,2019-05-02 13:55:00,38.77,2931690000000
West Ericstad,2019-04-24 03:20:00,7.31,4292480000000
New Paulville,2019-03-10 10:45:00,4.43,1213920000000
Hurleymouth,2019-05-04 21:50:00,21.44,4039660000000
West Samuelburgh,2019-03-03 03:17:00,25.17,1781750000000
Joneschester,2019-03-01 18:48:00,34.71,3343260000000
New Paulville,2019-04-03 07:51:00,32.7,9562560000000
Simpsonburgh,2019-01-19 23:06:00,15.83,233191000000
Port Angela,2019-04-17 06:23:00,16.34,7120530000000
West Ericstad,2019-04-04 13:03:00,28.52,6432850000000
New Kimberlyborough,2019-03-16 01:38:00,17.19,2770470000000
Joneschester,2019-01-30 17:41:00,36.78,1664030000000
North Markport,2019-04-26 04:45:00,44.37,1628420000000
Hurleymouth,2019-03-22 11:19:00,32.85,8449290000000
Barajasview,2019-01-15 02:59:00,19.52,8268110000000
Grahamburgh,2019-04-06 13:48:00,23.87,1468250000000
South Michelleport,2019-03-02 09:54:00,33.12,813844000000
Loganberg,2019-01-07 19:02:00,16.26,9045380000000
West Christopherberg,2019-03-18 17:14:00,12.64,1061090000000
Rogerston,2019-02-23 19:13:00,14.04,7647140000000
Huntermouth,2019-02-24 07:57:00,39.12,928039000000
New Jacobville,2019-02-09 02:17:00,7.11,3855050000000
Lake Jonathanshire,2019-04-07 20:51:00,31.25,4441250000000
Port David,2019-03-17 14:42:00,33.11,1025680000000
Martinezhaven,2019-02-20 19:32:00,13.34,2760690000000
Port Frank,2019-04-19 19:35:00,26.47,6722710000000
Valentineton,2019-03-02 14:44:00,39.77,6770390000000
Hurleymouth,2019-03-03 11:28:00,36.31,167035000000
Carriemouth,2019-02-25 08:26:00,32.37,6918430000000
Port Samanthamouth,2019-04-16 18:34:00,9.2,8712250000000
Williamsstad,2019-01-23 17:51:00,19.62,125986000000
Royland,2019-01-07 02:23:00,24.5,3620850000000
New Jacobville,2019-01-05 05:02:00,34.11,2828520000000
Roberthaven,2019-03-06 22:56:00,12.38,3372960000000
South Evanton,2019-01-07 18:47:00,43.61,9122500000000
New Paulton,2019-05-03 12:09:00,21.67,9086560000000
Karenberg,2019-03-11 17:26:00,36.15,7796760000000
Rodneyfort,2019-01-30 12:34:00,16.99,5778730000000
East Kaylahaven,2019-04-04 02:35:00,23.18,57422927996
Huntermouth,2019-02-19 03:19:00,7.05,1616520000000
Barajasview,2019-01-23 13:23:00,37.68,4108450000000
Williamsstad,2019-03-29 21:43:00,35.58,4747780000000
North Jason,2019-03-08 20:06:00,25.21,3180080000000
Christopherfurt,2019-04-17 02:25:00,23.3,7819060000000
Liumouth,2019-01-11 17:15:00,36.78,1464520000000
Johnton,2019-01-17 02:12:00,32.19,8526300000000
West Angela,2019-03-08 01:08:00,41.06,6204870000000
Jerryton,2019-01-04 16:38:00,37.2,5637870000000
Erikaland,2019-02-18 07:47:00,20.62,3294150000000
North Jason,2019-02-07 07:27:00,20,473650000000
Lake Scottton,2019-05-05 11:21:00,18.77,405382000000
Simpsonburgh,2019-03-22 08:56:00,22.05,3495180000000
Raymondhaven,2019-03-12 06:59:00,16.98,6447700000000
West Robert,2019-04-05 03:18:00,44.58,4246010000000
North Jason,2019-03-18 10:10:00,6.41,2865830000000
Port Samanthamouth,2019-01-23 09:08:00,35.51,3116860000000
West Robert,2019-01-21 17:21:00,27.11,1369910000000
Jerryton,2019-01-05 15:36:00,37.91,1587080000000
Port Samanthamouth,2019-02-03 07:07:00,18.03,9292190000000
Liumouth,2019-01-15 07:55:00,14.55,4379350000000
West Heidi,2019-04-03 03:16:00,24.76,1820230000000
Loganberg,2019-01-21 16:26:00,22.86,1954300000000
Grahamburgh,2019-02-17 09:54:00,30.25,4047930000000
Raymondhaven,2019-05-06 23:22:00,25.76,8721020000000
Karenside,2019-01-25 15:35:00,14.52,2652360000000
Port Frank,2019-04-06 21:38:00,18.08,5474890000000
Leahton,2019-04-02 17:39:00,22.76,5808730000000
Port Samanthamouth,2019-04-22 03:32:00,29.67,3154060000000
Jerryton,2019-04-13 21:47:00,32.08,8499180000000
West Patrickchester,2019-03-07 15:47:00,23.66,3066090000000
West Samuelburgh,2019-03-03 16:07:00,27.48,100531000000
North Markport,2019-03-31 13:58:00,29.41,3093470000000
West Angela,2019-03-10 11:23:00,27.1,1365320000000
Grahamburgh,2019-03-12 02:44:00,22.97,4898010000000
South Michelleport,2019-01-08 09:38:00,23.77,4916160000000
East Kaylahaven,2019-04-02 07:05:00,9.67,2088460000000
South Karenland,2019-04-22 21:37:00,22.86,6728150000000
Lake Danielberg,2019-02-24 12:05:00,9.63,9149330000000
Justinberg,2019-04-26 08:41:00,8.83,1823090000000
Karenberg,2019-04-29 20:54:00,28.41,9052850000000
South Phillip,2019-02-09 16:46:00,7.89,3203190000000
North Madeline,2019-04-05 18:23:00,29.69,240703000000
New Kimberlyborough,2019-05-01 13:56:00,22.59,9250930000000
South Jack,2019-04-24 19:33:00,38.04,2197990000000
Erikaland,2019-03-11 02:19:00,27.39,132014000000
New Paulville,2019-03-27 02:18:00,7.29,7046760000000
Hurleymouth,2019-03-26 20:22:00,41.15,4707260000000
Liumouth,2019-04-12 03:38:00,43.34,7857230000000
Deanville,2019-05-01 21:53:00,8.28,592955000000
Karenside,2019-04-02 19:22:00,41.93,4093610000000
West Angela,2019-01-30 18:08:00,19.13,2078140000000
Liumouth,2019-02-01 20:17:00,24.81,5470070000000
Jerryton,2019-03-27 12:48:00,13.29,8959840000000
South Phillip,2019-05-04 09:10:00,28.3,8696570000000
Port Johnbury,2019-04-27 16:22:00,25.67,2746330000000
Raymondhaven,2019-02-08 23:57:00,5.7,3930030000000
Port David,2019-03-07 18:37:00,42.04,9905960000000
Robertport,2019-03-06 09:51:00,6.73,9679760000000
Loganberg,2019-03-16 11:46:00,23.99,9492900000000
Karenside,2019-04-19 10:17:00,36.01,1322740000000
Lake Jonathanshire,2019-03-09 23:45:00,19.89,2389500000000
Pattyland,2019-01-30 12:35:00,8.57,4688890000000
West Robert,2019-04-13 06:56:00,32.94,9603610000000
Justinberg,2019-04-12 05:27:00,17.03,8374760000000
West Josephberg,2019-02-09 14:07:00,4.42,8303790000000
North Markport,2019-01-21 11:49:00,27.68,4556760000000
Williamsview,2019-01-09 15:24:00,44.46,2195530000000
Raymondhaven,2019-02-01 05:51:00,13.86,8721050000000
South Latoya,2019-02-12 16:32:00,30.22,7388420000000
Deanville,2019-03-29 04:07:00,5.32,2612670000000
Amandaburgh,2019-03-05 02:15:00,26.28,906851000000
Jerryton,2019-01-27 14:46:00,29.08,6160530000000
Deanville,2019-03-24 00:26:00,30.55,5276110000000
West Anthony,2019-01-23 12:32:00,23.24,596601000000
West Anthony,2019-02-24 06:14:00,39.2,8491410000000
West Heidi,2019-03-30 10:46:00,22.41,1711350000000
Royland,2019-01-01 03:46:00,7.57,5815380000000
South Latoya,2019-03-02 06:06:00,10.35,338289000000
Johnton,2019-01-08 17:33:00,43.75,195319000000
West Angela,2019-01-30 18:46:00,32.31,7288680000000
Rodneyfort,2019-01-08 00:29:00,29.4,1184250000000
Royland,2019-01-02 20:08:00,10.19,668201000000
New Paulville,2019-01-31 05:32:00,20.8,1092840000000
Huntermouth,2019-04-09 20:23:00,35.11,3005610000000
New Paulville,2019-01-30 15:21:00,7.02,8504960000000
Justinberg,2019-05-03 02:49:00,36.06,929542000000
Port Angela,2019-03-31 15:22:00,30.77,662264000000
Port Angela,2019-04-09 14:34:00,11.9,7009810000000
Christopherfurt,2019-01-05 22:21:00,33.51,1901030000000
South Michelleport,2019-04-22 03:15:00,43.62,4663610000000
Williamsstad,2019-02-13 20:07:00,33.72,3796710000000
Lake Jonathanshire,2019-04-07 18:09:00,24.28,7796810000000
Robertport,2019-03-20 19:11:00,20.21,9630920000000
Port Angela,2019-02-08 16:30:00,30.38,5165540000000
Barajasview,2019-02-08 18:07:00,24.49,2612170000000
South Evanton,2019-01-24 07:08:00,17.83,2996660000000
Lake Danielberg,2019-02-13 11:01:00,43.96,100024000000
Royland,2019-04-19 00:05:00,25.4,9847760000000
Rodneyfort,2019-02-08 07:35:00,30.02,2497020000000
East Kaylahaven,2019-01-17 10:15:00,40.82,6342490000000
West Christopherberg,2019-01-17 14:30:00,9.04,5154850000000
New Jacobville,2019-01-15 15:27:00,27.24,3812960000000
Lake Jonathanshire,2019-01-02 14:14:00,13.89,424255000000
Port Samanthamouth,2019-04-25 09:50:00,25.5,1169130000000
West Heidi,2019-03-26 09:45:00,22.33,826311000000
Karenside,2019-04-14 05:11:00,13.13,3659610000000
Valentineton,2019-02-01 14:11:00,9.68,2132100000000
Raymondhaven,2019-02-23 11:13:00,4.24,294151000000
Carriemouth,2019-03-11 21:35:00,16.78,1519390000000
West Josephberg,2019-01-16 16:17:00,7.04,2507080000000
Port Samanthamouth,2019-03-01 08:58:00,43.25,1389180000000
Karenberg,2019-03-30 11:38:00,24.64,4539330000000
New Paulton,2019-03-10 01:07:00,28,1067160000000
Joneschester,2019-02-07 18:36:00,6.34,2605460000000
North Jasmine,2019-02-08 19:03:00,4.86,1276630000000
Valentineton,2019-02-27 00:40:00,25.4,6152360000000
New Paulton,2019-02-20 16:59:00,24.29,7738130000000
South Evanton,2019-04-28 08:15:00,22.86,7585360000000
North Jasmine,2019-01-22 17:25:00,31.68,712302000000
West Anthony,2019-03-17 00:30:00,35.42,4561320000000
Jerryton,2019-04-29 02:49:00,41.27,902958000000
Grahamburgh,2019-01-09 07:00:00,13.55,5462600000000
South Jack,2019-03-30 20:21:00,4.2,4817670000000
West Christopherberg,2019-01-23 21:23:00,30.93,5335680000000
Lake Scottton,2019-03-26 00:49:00,9.79,1827900000000
West Patrickchester,2019-01-14 01:15:00,24.82,5934940000000
Royland,2019-01-17 14:08:00,27.92,3147270000000
South Karenland,2019-02-14 14:00:00,39.53,2861640000000
Erikaland,2019-03-27 13:11:00,36.52,2195950000000
Rodneyfort,2019-03-20 10:40:00,42.57,6354950000000
Williamsstad,2019-05-01 01:26:00,26.81,4542950000000
Richardfort,2019-02-13 12:46:00,14,910050000000
West Ericstad,2019-01-25 12:29:00,20.03,3276480000000
Grahamburgh,2019-03-05 05:39:00,4.33,803729000000
North Barbara,2019-05-04 02:33:00,24.09,9275090000000
West Robert,2019-01-04 06:10:00,35.35,9554290000000
Justinberg,2019-03-14 10:46:00,36.32,6771690000000
South Michelleport,2019-03-03 16:13:00,41.62,2339780000000
North Jasmine,2019-02-22 01:56:00,25.33,1319970000000
Barajasview,2019-03-01 11:06:00,28.25,7225830000000
Carriemouth,2019-04-04 13:22:00,12.91,4276690000000
Amandaburgh,2019-02-24 23:10:00,43.66,6573820000000
Johnton,2019-03-27 00:10:00,18.89,3634070000000
Port Angela,2019-03-04 03:26:00,40.35,4930810000000
Rodneyfort,2019-05-06 22:21:00,27.16,3765500000000
Amandaburgh,2019-02-10 20:42:00,36.17,6455620000000
North Madeline,2019-02-25 04:32:00,13.58,4932840000000
West Angela,2019-03-01 11:13:00,30.3,9673530000000
Joneschester,2019-01-03 05:45:00,25.47,5540180000000
Joneschester,2019-01-03 01:03:00,17.97,5439310000000
South Phillip,2019-01-29 11:26:00,35.23,7418230000000
Liumouth,2019-03-30 03:13:00,4.66,3164440000000
West Anthony,2019-01-10 02:31:00,32.34,1479320000000
North Jason,2019-02-26 11:57:00,13.88,2494980000000
North Jason,2019-03-21 09:45:00,10.42,6601540000000
Carriemouth,2019-04-28 14:28:00,11.46,6991850000000
Huntermouth,2019-05-04 15:20:00,36.77,7186620000000
South Phillip,2019-04-18 06:03:00,39.95,9719020000000
South Jack,2019-02-01 22:32:00,28.37,3372010000000
Port Johnbury,2019-05-05 06:26:00,25.3,2541020000000
South Phillip,2019-05-06 05:05:00,43.43,2435200000000
North Jasmine,2019-04-10 11:45:00,38.24,2955000000000
South Michelleport,2019-01-27 19:38:00,15.45,7465260000000
North Madeline,2019-04-07 08:54:00,32.99,1819350000000
Christopherfurt,2019-02-24 02:56:00,40.33,9584190000000
Williamsstad,2019-02-23 17:42:00,4.68,9109970000000
Martinezhaven,2019-04-18 01:40:00,34.7,2023090000000
Simpsonburgh,2019-04-03 08:47:00,4.74,8556330000000
New Jacobville,2019-02-04 04:57:00,27.63,4329150000000
South Karenland,2019-02-12 03:42:00,5.78,8890440000000
Royland,2019-01-27 01:01:00,24.56,9656710000000
Karenside,2019-01-22 13:11:00,24.72,5326730000000
West Robert,2019-05-05 05:18:00,10.15,9392180000000
Port Samanthamouth,2019-04-27 08:48:00,12.84,5659910000000
West Samuelburgh,2019-03-07 01:51:00,14.55,7160360000000
New Kimberlyborough,2019-03-29 20:35:00,42.51,8296940000000
Port David,2019-03-27 11:56:00,15.64,5338480000000
Karenside,2019-03-18 12:48:00,36.96,7605140000000
New Paulton,2019-02-08 17:11:00,39.65,8505960000000
West Ericstad,2019-01-08 09:03:00,32.99,6688340000000
Port Johnbury,2019-03-21 02:20:00,32.8,5450930000000
Port Samanthamouth,2019-03-27 00:31:00,16.05,1412280000000
Port Frank,2019-01-08 23:51:00,42.13,2099160000000
Lake Jonathanshire,2019-04-06 11:30:00,16.84,6164450000000
West Angela,2019-02-05 18:53:00,36.37,7832430000000
Port Samanthamouth,2019-03-27 01:08:00,21.46,9991540000000
North Madeline,2019-03-04 17:20:00,21.38,9544490000000
Williamsview,2019-01-15 00:10:00,44.33,4627030000000
Grahamburgh,2019-02-21 06:55:00,22.65,816396000000
South Evanton,2019-03-06 03:56:00,30.87,5811920000000
Loganberg,2019-03-27 13:32:00,4.72,6120690000000
Carriemouth,2019-02-21 16:38:00,44.18,4528590000000
Port David,2019-01-02 11:51:00,7.45,6148350000000
West Heidi,2019-01-30 12:59:00,30.84,8936560000000
Williamsstad,2019-03-05 02:33:00,25.02,1313210000000
North Barbara,2019-02-04 08:12:00,42.59,4971250000000
Lake Danielberg,2019-03-17 19:23:00,10.18,4714400000000
North Markport,2019-04-13 07:37:00,20.09,4311210000000
Port Angela,2019-05-02 04:14:00,35.76,7945960000000
Port Samanthamouth,2019-03-15 15:08:00,25.97,7725960000000
West Angela,2019-05-03 09:04:00,24.07,7808190000000
Leahton,2019-02-21 20:37:00,24.13,6759670000000
North Markport,2019-04-28 04:34:00,40.46,2567890000000
Karenside,2019-03-09 03:50:00,40.86,1757540000000
Jerryton,2019-01-07 12:05:00,7.86,707330000000
South Michelleport,2019-04-14 01:20:00,37.93,1533270000000
Valentineton,2019-03-25 20:45:00,22.53,2335050000000
East Kaylahaven,2019-04-09 16:57:00,10.03,8036810000000
Erikaland,2019-04-13 12:26:00,25.22,4847170000000
West Christopherberg,2019-01-08 08:25:00,37.78,8767060000000
Pattyland,2019-02-01 22:43:00,32.03,2850240000000
Deanville,2019-02-08 23:33:00,21.22,4786810000000
West Christopherberg,2019-03-21 00:14:00,43.87,5085480000000
Justinberg,2019-03-23 06:28:00,30.58,3503300000000
Lake Danielberg,2019-02-24 19:34:00,34.82,2442270000000
Port Samanthamouth,2019-01-30 01:19:00,38.78,6119830000000
Lake Danielberg,2019-02-28 15:08:00,44.96,6319590000000
Deanville,2019-04-15 01:36:00,24.3,1065300000000
Pattyland,2019-02-15 15:13:00,44.03,1556660000000
Karenside,2019-01-27 08:52:00,7.65,473230000000
Port Angela,2019-04-22 16:43:00,7.91,6767310000000
West Angela,2019-04-14 18:40:00,32.77,4995730000000
South Karenland,2019-03-26 06:12:00,35.5,1482390000000
New Jacobville,2019-02-18 21:09:00,39.97,8028700000000
Roberthaven,2019-03-14 16:12:00,36.84,4123410000000
Lake Scottton,2019-04-24 11:54:00,5.31,9668340000000
Amandaburgh,2019-01-11 02:22:00,29.24,7279900000000
Reynoldsfurt,2019-05-05 17:38:00,14.95,1404730000000
West Patrickchester,2019-02-09 05:54:00,16.1,9112330000000
Christopherfurt,2019-04-13 08:29:00,37.22,3288050000000
South Evanton,2019-04-27 00:58:00,27.78,9377580000000
Lake Scottton,2019-02-07 05:08:00,10.76,4201250000000
Roberthaven,2019-03-14 15:24:00,35.27,4034560000000
Rodneyfort,2019-03-04 15:13:00,28.69,275698000000
West Josephberg,2019-02-17 06:28:00,41.49,2821330000000
Lake Jonathanshire,2019-03-21 00:18:00,37.95,8353660000000
Simpsonburgh,2019-02-05 16:02:00,25.58,2038700000000
West Heidi,2019-03-19 03:15:00,5.65,2474790000000
North Barbara,2019-03-23 20:59:00,23.76,5550270000000
North Jasmine,2019-03-11 21:03:00,37.93,4221380000000
West Gabriel,2019-04-29 01:22:00,36.7,4103500000000
Liumouth,2019-04-14 06:43:00,31.63,6166290000000
Carriemouth,2019-03-02 15:40:00,28.04,5138540000000
West Robert,2019-03-24 15:21:00,34.9,9472330000000
North Jasmine,2019-05-02 10:24:00,29.86,3198990000000
Carriemouth,2019-03-21 15:40:00,44.64,9560840000000
Lake Scottton,2019-02-15 06:49:00,22.75,8382040000000
North Madeline,2019-04-12 13:57:00,7.77,9273340000000
Lake Danielberg,2019-01-07 09:41:00,17.39,4355540000000
North Madeline,2019-04-30 16:02:00,37.48,2508130000000
Port David,2019-01-07 20:03:00,20.49,5846260000000
Royland,2019-02-11 03:46:00,30.41,7200100000000
West Samuelburgh,2019-02-20 01:05:00,19.65,6623790000000
West Angela,2019-03-18 12:08:00,34.05,5332410000000
West Patrickchester,2019-03-06 04:19:00,32.37,3684670000000
Port Frank,2019-02-05 10:34:00,20.1,4443070000000
New Kimberlyborough,2019-02-09 05:48:00,39.55,6010050000000
Justinberg,2019-04-20 07:37:00,29.07,209655000000
West Angela,2019-04-18 12:07:00,16.18,5770100000000
Justinberg,2019-03-10 09:19:00,37.89,5563130000000
Valentineton,2019-01-10 17:29:00,19.91,774511000000
Williamsview,2019-04-07 00:32:00,18.92,23948941587
South Jack,2019-01-31 02:51:00,21.75,6971160000000
Port Frank,2019-02-18 18:49:00,39.06,7301850000000
Leahton,2019-02-13 11:40:00,16.79,4744790000000
South Michelleport,2019-02-22 07:44:00,22.52,8522740000000
South Karenland,2019-04-25 14:44:00,24.86,1307710000000
Richardfort,2019-02-16 13:52:00,17.92,820639000000
Williamsstad,2019-04-16 23:07:00,23.12,969458000000
South Michelleport,2019-02-12 07:41:00,27.7,5582880000000
West Patrickchester,2019-04-13 19:49:00,33.33,1834060000000
Martinezhaven,2019-04-18 18:37:00,5.81,2124250000000
North Jason,2019-01-23 22:51:00,21.95,6701800000000
North Jason,2019-04-18 12:19:00,22.42,4927790000000
Lake Scottton,2019-05-03 22:33:00,9.01,1289760000000
West Christopherberg,2019-03-01 21:33:00,11.97,6422550000000
North Markport,2019-04-10 22:15:00,38.02,8834530000000
Christopherfurt,2019-04-09 00:32:00,29.96,9825840000000
North Madeline,2019-01-29 16:12:00,17.57,2596460000000
Richardfort,2019-02-01 20:18:00,10.26,9554940000000
South Phillip,2019-01-25 05:04:00,38.15,3599160000000
East Kaylahaven,2019-02-11 00:24:00,43.19,8671040000000
Rodneyfort,2019-04-11 02:57:00,36.3,9048910000000
Pattyland,2019-04-26 08:31:00,19.99,8827780000000
South Karenland,2019-03-24 23:37:00,41.44,604857000000
Port David,2019-03-24 21:58:00,28.84,5266780000000
Rodneyfort,2019-03-10 05:23:00,29.13,4634910000000
New Paulton,2019-02-02 16:37:00,17.19,8500430000000
Williamsstad,2019-03-12 01:39:00,18.67,2161830000000
South Michelleport,2019-01-29 20:40:00,9.79,5529060000000
West Christopherberg,2019-03-21 02:57:00,21.41,7703400000000
Lake Scottton,2019-03-25 21:46:00,36.92,7043640000000
Port Angela,2019-03-19 12:32:00,17.21,1694210000000
Christopherfurt,2019-04-17 22:12:00,32.39,653652000000
Joneschester,2019-02-27 08:19:00,33.34,2386090000000
Loganberg,2019-01-25 01:59:00,26.03,9123750000000
South Phillip,2019-02-19 13:19:00,33.07,8518160000000
Deanville,2019-01-23 13:00:00,42.45,7286210000000
New Kimberlyborough,2019-01-30 21:46:00,29.09,8587120000000
Port Johnbury,2019-04-11 10:26:00,9.1,7804750000000
West Patrickchester,2019-04-19 03:26:00,44.5,8638320000000
West Robert,2019-01-11 11:10:00,5.16,1592590000000
New Paulton,2019-03-28 03:35:00,14.94,3703490000000
South Latoya,2019-03-19 16:19:00,31.72,363818000000
Robertport,2019-02-18 15:01:00,43.47,7995690000000
Valentineton,2019-01-19 19:40:00,6.71,9052710000000
South Latoya,2019-01-18 20:09:00,10.98,7144190000000
Simpsonburgh,2019-01-12 04:35:00,24.83,3151660000000
West Patrickchester,2019-02-12 16:33:00,22.64,4553730000000
Richardfort,2019-04-17 02:26:00,23,720021000000
Hurleymouth,2019-02-20 10:47:00,17.07,7023700000000
Leahton,2019-01-27 08:09:00,29.36,2921810000000
West Anthony,2019-04-29 01:12:00,27.04,4375350000000
New Kimberlyborough,2019-01-05 09:33:00,39.47,2812690000000
South Latoya,2019-03-19 22:03:00,40.29,660213000000
Williamsstad,2019-04-12 12:30:00,17.57,7099680000000
South Karenland,2019-02-01 19:45:00,31.64,9377350000000
North Jason,2019-04-16 15:23:00,24.07,9726120000000
West Angela,2019-01-27 09:35:00,9.24,2623130000000
Lake Danielberg,2019-02-08 05:58:00,10.31,2464530000000
Port Samanthamouth,2019-04-06 13:42:00,24.18,8484620000000
New Jacobville,2019-02-09 02:25:00,37.51,5692070000000
New Kimberlyborough,2019-03-10 13:55:00,10.83,1558580000000
New Kimberlyborough,2019-01-08 18:59:00,13.34,626984000000
Karenberg,2019-03-05 01:38:00,44.1,9226780000000
South Phillip,2019-04-11 10:09:00,21.06,4832100000000
Loganberg,2019-01-20 01:34:00,38.66,7239150000000
Carriemouth,2019-05-01 04:53:00,10.97,8792110000000
West Patrickchester,2019-01-21 14:48:00,19.44,2088370000000
Martinezhaven,2019-02-07 21:45:00,4.31,9333330000000
Karenside,2019-01-08 08:49:00,22.64,2411620000000
North Jason,2019-03-24 07:40:00,32.72,7960290000000
Lake Danielberg,2019-03-28 09:56:00,28.53,9808250000000
Pattyland,2019-04-03 03:29:00,14.06,5399010000000
Pattyland,2019-02-21 17:53:00,7.06,5808460000000
Loganberg,2019-01-11 04:27:00,44.34,1376540000000
Leahton,2019-02-28 13:10:00,9.08,8197500000000
Reynoldsfurt,2019-01-17 21:35:00,24.84,5000180000000
Raymondhaven,2019-02-22 23:54:00,7.64,7311720000000
South Latoya,2019-02-12 22:59:00,5.54,839760000000
Lake Scottton,2019-01-18 02:32:00,31.92,5706290000000
Port David,2019-02-24 22:20:00,35.63,3354530000000
Roberthaven,2019-04-05 14:01:00,31.09,1016220000000
Rogerston,2019-03-24 02:56:00,39.6,9196190000000
Karenberg,2019-04-27 14:57:00,44.73,3800720000000
Martinezhaven,2019-04-14 16:26:00,32.57,971302000000
South Evanton,2019-01-20 23:10:00,25.94,3431710000000
North Jasmine,2019-04-26 12:08:00,35.33,6857330000000
Hurleymouth,2019-01-12 01:19:00,10.64,8125600000000
West Robert,2019-03-07 15:57:00,12.22,2705600000000
Deanville,2019-04-21 23:32:00,33.37,7763080000000
South Michelleport,2019-01-09 01:48:00,10.68,3236910000000
Royland,2019-02-02 12:51:00,42.52,7835420000000
Rodneyfort,2019-04-10 23:38:00,25.4,9060370000000
North Madeline,2019-01-12 09:42:00,20.82,8114790000000
Lake Danielberg,2019-04-28 04:00:00,39.82,7889100000000
Port Johnbury,2019-05-02 12:46:00,42.42,3245380000000
Richardfort,2019-04-21 03:44:00,9.54,3698150000000
Liumouth,2019-03-22 04:06:00,33.1,3678560000000
Roberthaven,2019-01-21 19:25:00,23.14,4939140000000
Amandaburgh,2019-01-21 04:12:00,9.26,5528430000000
South Evanton,2019-04-25 00:37:00,26.84,1539240000000
Port Samanthamouth,2019-03-25 13:20:00,34.94,821747000000
South Michelleport,2019-03-13 04:21:00,10.44,5684860000000
North Madeline,2019-01-14 03:43:00,31.88,8713000000000
Hurleymouth,2019-03-17 06:50:00,29.95,5225180000000
Port David,2019-04-10 14:27:00,26.68,5361390000000
Pattyland,2019-02-10 02:55:00,24.39,7264850000000
Liumouth,2019-03-17 19:21:00,19.05,9118270000000
Robertport,2019-04-03 01:20:00,15.14,6669720000000
Hurleymouth,2019-04-01 06:26:00,9.94,4063430000000
West Samuelburgh,2019-04-17 11:25:00,15.03,4021530000000
South Phillip,2019-03-18 04:11:00,17.57,8431000000000
West Josephberg,2019-01-29 02:13:00,7.58,6142970000000
Roberthaven,2019-02-16 10:23:00,14.95,6653680000000
West Christopherberg,2019-03-27 23:57:00,21.55,2201810000000
Christopherfurt,2019-03-30 13:15:00,31.3,7457130000000
